,Team,Total attempts,Average per game,Attempts on target,Attempts off target,Attempts blocked,Attempts against woodwork
0,Man. City,181,18.1,70,70,41,9
1,Barcelona,199,16.58,77,74,48,7
2,Liverpool,186,14.31,57,78,51,2
3,Ajax,185,15.42,70,70,45,4
4,Paris,117,14.63,57,37,23,1
5,Porto,134,13.4,54,53,27,2
6,Tottenham,199,15.31,73,65,61,5
7,Bayern,109,13.63,45,37,27,0
8,Real Madrid,151,18.88,55,66,30,8
9,Roma,128,16.0,55,47,26,2
10,Juventus,151,15.1,43,68,40,5
11,Lyon,116,14.5,41,43,32,4
12,Hoffenheim,92,15.33,32,38,22,1
13,Atlético,87,10.88,30,38,19,3
14,Dortmund,94,11.75,32,38,24,1
15,Man. United,118,11.8,32,48,38,4
16,Shakhtar Donetsk,71,11.83,26,28,17,3
17,CSKA Moskva,77,12.83,30,27,20,0
18,Schalke,82,10.25,27,27,28,1
19,Plzeň,68,11.33,21,28,19,0
20,Napoli,94,15.67,32,42,20,4
21,Internazionale,92,15.33,27,37,28,0
22,PSV,74,12.33,26,32,16,4
23,Club Brugge,48,8.0,16,22,10,0
24,Benfica,80,13.33,32,35,13,2
25,Valencia,71,11.83,18,31,22,1
26,Galatasaray,71,11.83,22,31,18,1
27,Crvena zvezda,43,7.17,16,18,9,0
28,Young Boys,70,11.67,16,33,21,1
29,Lokomotiv Moskva,77,12.83,16,32,29,2
30,AEK,37,6.17,9,17,11,0
31,Monaco,60,10.0,17,31,12,0
