,Team,Total goals,Average scored,Total goals against,Average conceded,Goal difference
0,Man. City,30,3.0,12,1.2,18
1,Barcelona,26,2.17,10,0.83,16
2,Liverpool,24,1.85,12,0.92,12
3,Ajax,22,1.83,13,1.08,9
4,Paris,20,2.5,12,1.5,8
5,Porto,20,2.0,14,1.4,6
6,Tottenham,20,1.54,19,1.46,1
7,Bayern,16,2.0,8,1.0,8
8,Real Madrid,15,1.88,10,1.25,5
9,Roma,14,1.75,12,1.5,2
10,Juventus,14,1.4,9,0.9,5
11,Lyon,13,1.63,16,2.0,-3
12,Hoffenheim,11,1.83,14,2.33,-3
13,Atlético,11,1.38,9,1.13,2
14,Dortmund,10,1.25,6,0.75,4
15,Man. United,10,1.0,11,1.1,-1
16,Shakhtar Donetsk,8,1.33,16,2.67,-8
17,CSKA Moskva,8,1.33,9,1.5,-1
18,Schalke,8,1.0,14,1.75,-6
19,Plzeň,7,1.17,16,2.67,-9
20,Napoli,7,1.17,4,0.67,3
21,Internazionale,6,1.0,7,1.17,-1
22,PSV,6,1.0,13,2.17,-7
23,Club Brugge,6,1.0,5,0.83,1
24,Benfica,6,1.0,11,1.83,-5
25,Valencia,6,1.0,6,1.0,0
26,Galatasaray,5,0.83,8,1.33,-3
27,Crvena zvezda,5,0.83,17,2.83,-12
28,Young Boys,4,0.67,12,2.0,-8
29,Lokomotiv Moskva,4,0.67,12,2.0,-8
30,AEK,2,0.33,13,2.17,-11
31,Monaco,2,0.33,14,2.33,-12
